epoche,train_erreue,val_erreur,train_accuracy,val_accuracy
1,189.1814075857401,59.57263160975708,84.35621417587026,87.14285714285714
2,128.196234498173,35.459942864763434,89.44498811687404,91.91637630662021
3,102.5224411347881,23.501339695209026,91.83559345729064,95.08710801393728
4,91.53454519435763,22.768878900868003,92.40877953306305,95.1219512195122
5,76.51944877766073,22.44388211957994,93.70893331469314,95.05226480836237
6,79.48069375893101,21.301035890998776,93.87669509296799,95.64459930313589
7,65.5992836302612,21.1440337089698,95.17684887459806,95.4006968641115
8,63.57831712230109,26.77779361620742,94.84132531804838,93.7979094076655
9,60.095023912144825,14.123638459128017,95.51237243114777,97.73519163763066
10,57.68443701197975,9.782512433370641,95.79197539493919,98.15331010452962
11,48.39126055937959,10.861680065621215,95.98769746959317,97.87456445993031
12,44.69850857392885,9.524517730913544,96.88242695372571,98.08362369337979
13,48.64859227096895,10.472173220684908,96.3092408779533,98.08362369337979
14,45.1879000228364,10.420908107643491,96.65874458269258,97.94425087108014
15,35.45566573913675,16.13321498632598,97.03620858381099,96.79442508710801
16,29.001622978277737,8.594414106702615,97.7072556969104,98.397212543554
17,32.78031282297161,10.888935249429025,97.67929540053125,97.77003484320558
18,33.78291871035617,5.360156476904809,97.69327554872082,99.12891986062718
19,32.052618096488004,6.96751578844226,97.72123584509995,99.02439024390245
20,32.034492249462346,3.4819979476720775,97.83307703061652,99.33797909407666
21,29.516628446275718,5.53258784419411,97.81909688242695,98.98954703832753
22,30.4748325557739,5.339901124481088,97.90297777156438,98.85017421602788
23,27.261253003647653,7.4475558715897705,98.00083880889137,98.57142857142857
24,27.694036566943396,4.576400029381489,98.00083880889137,98.98954703832753
25,21.15139899816495,4.329000093495722,98.47616384733678,99.33797909407666
26,26.7888464142452,3.728651212695296,98.11267999440794,99.30313588850174
27,30.46252136425028,2.8474854737911097,98.1825807353558,99.61672473867596
28,23.988627794231434,3.4485807222901292,98.62994547742205,99.30313588850174
29,20.1715265500643,3.367591805562011,98.81168740388648,99.40766550522648
30,21.991621024761116,1.5802427039533313,98.51810429190549,99.68641114982579
