epoch,train_loss,val_loss,train_acc,val_acc
1,379.9295277297497,113.09422126412392,66.65734656787362,74.8780487804878
2,264.15655555576086,86.93651720508933,76.8209143016916,80.66202090592334
3,233.07022723555565,79.50993701256812,80.16216971899902,84.3205574912892
4,213.80231830477715,80.76897685416043,82.04948972459108,82.47386759581882
5,192.064531378448,62.20329788699746,83.36362365441073,85.78397212543554
6,184.5501117669046,56.05648067779839,84.11855165664755,88.25783972125436
7,171.4813304040581,50.904519689269364,85.55850692017336,88.88501742160278
8,164.77041542623192,44.79661393072456,86.35537536697889,90.20905923344948
9,154.0468910522759,40.02595965086948,86.74681951628688,91.602787456446
10,155.0951163448044,41.849767316365615,86.97050188732001,90.8362369337979
11,138.84029085276416,39.92911619693041,88.49433803998322,91.67247386759581
12,140.82699697185308,35.537638044101186,88.49433803998322,92.71777003484321
13,137.21885106666014,33.23367577526369,88.29861596532923,92.29965156794425
14,135.3983579352498,32.549787445459515,89.09548441213477,92.54355400696865
15,123.13270258903503,32.81628496904159,89.47294841325318,92.54355400696865
16,118.0721401097253,32.1259610321722,90.03215434083602,93.27526132404181
17,122.13550231859699,35.00240649422631,89.87837271075074,91.602787456446
18,115.77837651502341,28.533488034969196,89.76653152523417,93.58885017421603
19,116.54240654036403,24.902709719041013,90.11603522997343,94.98257839721255
20,112.1764014963992,24.754059060127474,90.46553893471271,95.26132404181185
21,110.10632713830546,29.676455997876474,90.87096323221026,93.31010452961672
22,106.21947092562914,23.61530003955704,91.16454634419125,95.22648083623693
23,103.6000984031707,26.01180837128777,91.23444708513911,94.49477351916376
24,100.79203212913126,26.462970664797467,91.77967286453236,94.14634146341463
25,101.66352798755725,24.087010716917575,91.58395078987837,95.64459930313589
26,108.09074225462018,27.021736786591646,91.05270515867468,93.97212543554006
27,100.03697170127998,22.40038892440498,91.55599049349924,95.29616724738676
28,102.53288663778221,23.569506001353147,91.08066545505382,95.60975609756098
29,100.82271716278046,25.22274371124513,91.50006990074095,94.25087108013938
30,94.32996970089152,20.438576432075934,92.22703760659863,96.02787456445994
31,91.23384202085435,19.202989118704863,92.15713686565077,97.14285714285714
32,93.2409846810624,16.22705377722741,91.75171256815322,96.65505226480836
33,92.02641196080367,17.269275784579804,92.42275968125261,96.44599303135888
34,93.81061025313102,22.084929611170082,92.12917656927164,94.98257839721255
35,88.5901817008853,15.64977967208688,92.6744023486649,97.24738675958189
